trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
272,False,"{'a': 0.5, 'e': 0.04584966682031494}",30,8,28.068962521351807,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
273,False,"{'a': 0.5, 'e': 0.043780819304021}",30,11,29.497079052544827,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.5, 'e': 0.04175759332561535}",20,15,8.938864581244356,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.5, 'e': 0.039780191206009674}",30,8,30.015897701012616,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
276,False,"{'a': 0.5, 'e': 0.03784881068376822}",25,8,20.626083015483207,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
277,False,"{'a': 0.5, 'e': 0.03596364489533366}",20,4,18.31050707797551,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.5, 'e': 0.034124882355713926}",20,12,18.522865612851135,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.5, 'e': 0.032332706939630584}",20,10,18.671012938753815,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.5, 'e': 0.030587297863131913}",20,13,14.871966886764447,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.5, 'e': 0.028888829665670857}",20,9,23.343648222285303,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.5, 'e': 0.027237472192652046}",30,15,25.66034468311932,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.5, 'e': 0.02563339057844649}",25,11,24.97838634666958,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.5, 'e': 0.024076745229878793}",20,6,26.529361995069998,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.5, 'e': 0.022567691810186807}",30,13,30.699129081433433,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.5, 'e': 0.021106381223454818}",20,13,13.703827831152697,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.5, 'e': 0.019692959599523885}",20,10,21.20629522493564,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.5, 'e': 0.01832756827937837}",20,12,16.307066415871866,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.5, 'e': 0.01701034380101263}",20,14,12.193510658796335,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.5, 'e': 0.01574141788577671}",30,23,11.041385220608806,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.5, 'e': 0.014520917425204727}",20,16,8.193696592638965,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.5, 'e': 0.013348964468325675}",30,21,17.81386403697005,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.5, 'e': 0.012225676209458691}",20,8,25.959358879734868,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.5, 'e': 0.011151164976493377}",20,10,16.54781847358231,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.5, 'e': 0.010125538219657892}",20,12,13.893995525746565,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.5, 'e': 0.00914889850077294}",30,21,18.78974853496652,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,14,11.351942158056788,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,11,27.517079241085774,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,15,18.91458597316674,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,8,23.793397667340383,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,14,12.259540495147775,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,11,15.910526500477506,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,13,15.331946387034998,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,16,9.172474805947239,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",30,19,22.033940919390343,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,10,29.55487021678602,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
